Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-338541.2083596479, B=3820.0, C=-0.4, u0=816.197375010689, ε0=1.0, τa=1.0, dPhi=0.0 Φs=-1.836868340061336e-05 Φa=-8.42135104789774e-06 Φw=-8.42135104789774e-06 Φwcalib=-8.42135104789774e-06 τw=1.0)
0; 273.20; 0.0024109247; 0.0000000000; 0.0000
1; 273.20; 0.0024079709; 0.0000000000; 0.0000
2; 273.20; 0.0024050170; 0.0000000000; 0.0000
3; 273.20; 0.0024020632; 0.0000000000; 0.0000
4; 273.20; 0.0023991093; 0.0000000000; 0.0000
5; 273.20; 0.0023961555; 0.0000000000; 0.0000
6; 273.20; 0.0023932016; 0.0000000000; 0.0000
7; 273.20; 0.0023902478; 0.0000000000; 0.0000
8; 273.20; 0.0023872939; 0.0000000000; 0.0000
9; 273.20; 0.0023843401; 0.0000000000; 0.0000
10; 273.20; 0.0023813862; 0.0000000000; 0.0000
11; 273.20; 0.0023784324; 0.0000000000; 0.0000
12; 273.20; 0.0023754785; 0.0000000000; 0.0000
13; 273.20; 0.0023725247; 0.0000000000; 0.0000
14; 273.20; 0.0023695708; 0.0000000000; 0.0000
15; 273.20; 0.0023666170; 0.0000000000; 0.0000
16; 273.20; 0.0023636631; 0.0000000000; 0.0000
17; 273.20; 0.0023607093; 0.0000000000; 0.0000
18; 273.20; 0.0023577554; 0.0000000000; 0.0000
19; 273.20; 0.0023548016; 0.0000000000; 0.0000
20; 273.20; 0.0023518477; 0.0000000000; 0.0000
21; 273.20; 0.0023488939; 0.0000000000; 0.0000
22; 273.20; 0.0023459400; 0.0000000000; 0.0000
23; 273.20; 0.0023429862; 0.0000000000; 0.0000
24; 273.20; 0.0023400323; 0.0000000000; 0.0000
25; 273.20; 0.0023370785; 0.0000000000; 0.0000
26; 273.20; 0.0023341246; 0.0000000000; 0.0000
27; 273.20; 0.0023311708; 0.0000000000; 0.0000
28; 273.20; 0.0023282169; 0.0000000000; 0.0000
29; 273.20; 0.0023252631; 0.0000000000; 0.0000
30; 273.20; 0.0023223092; 0.0000000000; 0.0000
31; 273.20; 0.0023193554; 0.0000000000; 0.0000
32; 273.20; 0.0023164015; 0.0000000000; 0.0000
33; 273.20; 0.0023134477; 0.0000000000; 0.0000
34; 273.20; 0.0023104938; 0.0000000000; 0.0000
35; 273.20; 0.0023075400; 0.0000000000; 0.0000
36; 273.20; 0.0023045861; 0.0000000000; 0.0000
37; 273.20; 0.0023016323; 0.0000000000; 0.0000
38; 273.20; 0.0022986784; 0.0000000000; 0.0000
39; 273.20; 0.0022957246; 0.0000000000; 0.0000
40; 273.20; 0.0022927707; 0.0000000000; 0.0000
41; 273.20; 0.0022898169; 0.0000000000; 0.0000
42; 273.20; 0.0022868630; 0.0000000000; 0.0000
43; 273.20; 0.0022839092; 0.0000000000; 0.0000
44; 273.20; 0.0022809553; 0.0000000000; 0.0000
45; 273.20; 0.0022780015; 0.0000000000; 0.0000
46; 273.20; 0.0022750476; 0.0000000000; 0.0000
47; 273.20; 0.0022720938; 0.0000000000; 0.0000
48; 273.20; 0.0022691399; 0.0000000000; 0.0000
49; 273.20; 0.0022661861; 0.0000000000; 0.0000
50; 273.20; 0.0022632322; 0.0000000000; 0.0000
51; 273.20; 0.0022602784; 0.0000000000; 0.0000
52; 273.20; 0.0022573245; 0.0000000000; 0.0000
53; 273.20; 0.0022543707; 0.0000000000; 0.0000
54; 273.20; 0.0022514168; 0.0000000000; 0.0000
55; 273.20; 0.0022484630; 0.0000000000; 0.0000
56; 273.20; 0.0022455091; 0.0000000000; 0.0000
57; 273.20; 0.0022425553; 0.0000000000; 0.0000
58; 273.20; 0.0022396014; 0.0000000000; 0.0000
59; 273.20; 0.0022366476; 0.0000000000; 0.0000
60; 273.20; 0.0022336937; 0.0000000000; 0.0000
61; 273.20; 0.0022307399; 0.0000000000; 0.0000
62; 273.20; 0.0022277860; 0.0000000000; 0.0000
63; 273.20; 0.0022248322; 0.0000000000; 0.0000
64; 273.20; 0.0022218783; 0.0000000000; 0.0000
65; 273.20; 0.0022189245; 0.0000000000; 0.0000
66; 273.20; 0.0022159706; 0.0000000000; 0.0000
67; 273.20; 0.0022130168; 0.0000000000; 0.0000
68; 273.20; 0.0022100629; 0.0000000000; 0.0000
69; 273.20; 0.0022071091; 0.0000000000; 0.0000
70; 273.20; 0.0022041552; 0.0000000000; 0.0000
71; 273.20; 0.0022012014; 0.0000000000; 0.0000
72; 273.20; 0.0021982475; 0.0000000000; 0.0000
73; 273.20; 0.0021952937; 0.0000000000; 0.0000
74; 273.20; 0.0021923398; 0.0000000000; 0.0000
75; 273.20; 0.0021893860; 0.0000000000; 0.0000
76; 273.20; 0.0021864321; 0.0000000000; 0.0000
77; 273.20; 0.0021834783; 0.0000000000; 0.0000
78; 273.20; 0.0021805244; 0.0000000000; 0.0000
79; 273.20; 0.0021775706; 0.0000000000; 0.0000
80; 273.20; 0.0021746167; 0.0000000000; 0.0000
81; 273.20; 0.0021716629; 0.0000000000; 0.0000
82; 273.20; 0.0021687090; 0.0000000000; 0.0000
83; 273.20; 0.0021657552; 0.0000000000; 0.0000
84; 273.20; 0.0021628013; 0.0000000000; 0.0000
85; 273.20; 0.0021598475; 0.0000000000; 0.0000
86; 273.20; 0.0021568936; 0.0000000000; 0.0000
87; 273.20; 0.0021539398; 0.0000000000; 0.0000
88; 273.20; 0.0021509859; 0.0000000000; 0.0000
89; 273.20; 0.0021480321; 0.0000000000; 0.0000
90; 273.20; 0.0021450782; 0.0000000000; 0.0000
91; 273.20; 0.0021421244; 0.0000000000; 0.0000
92; 273.20; 0.0021391705; 0.0000000000; 0.0000
93; 273.20; 0.0021362167; 0.0000000000; 0.0000
94; 273.20; 0.0021332628; 0.0000000000; 0.0000
95; 273.20; 0.0021303090; 0.0000000000; 0.0000
96; 273.20; 0.0021273551; 0.0000000000; 0.0000
97; 273.20; 0.0021244013; 0.0000000000; 0.0000
98; 273.20; 0.0021214474; 0.0000000000; 0.0000
99; 273.20; 0.0021184936; 0.0000000000; 0.0000
100; 273.20; 0.0021155397; 0.0000000000; 0.0000
101; 273.20; 0.0021125859; 0.0000000000; 0.0000
102; 273.20; 0.0021096320; 0.0000000000; 0.0000
103; 273.20; 0.0021066782; 0.0000000000; 0.0000
104; 273.20; 0.0021037243; 0.0000000000; 0.0000
105; 273.20; 0.0021007705; 0.0000000000; 0.0000
106; 273.20; 0.0020978166; 0.0000000000; 0.0000
107; 273.20; 0.0020948628; 0.0000000000; 0.0000
108; 273.20; 0.0020919089; 0.0000000000; 0.0000
109; 273.20; 0.0020889551; 0.0000000000; 0.0000
110; 273.20; 0.0020860012; 0.0000000000; 0.0000
111; 273.20; 0.0020830474; 0.0000000000; 0.0000
112; 273.20; 0.0020800935; 0.0000000000; 0.0000
113; 273.20; 0.0020771397; 0.0000000000; 0.0000
114; 273.20; 0.0020741858; 0.0000000000; 0.0000
115; 273.20; 0.0020712320; 0.0000000000; 0.0000
116; 273.20; 0.0020682781; 0.0000000000; 0.0000
117; 273.20; 0.0020653243; 0.0000000000; 0.0000
118; 273.20; 0.0020623704; 0.0000000000; 0.0000
119; 273.20; 0.0020594166; 0.0000000000; 0.0000
120; 273.20; 0.0020564627; 0.0000000000; 0.0000
121; 273.20; 0.0020535089; 0.0000000000; 0.0000
122; 273.20; 0.0020505550; 0.0000000000; 0.0000
123; 273.20; 0.0020476012; 0.0000000000; 0.0000
124; 273.20; 0.0020446473; 0.0000000000; 0.0000
125; 273.20; 0.0020416935; 0.0000000000; 0.0000
126; 273.20; 0.0020387396; 0.0000000000; 0.0000
127; 273.20; 0.0020357858; 0.0000000000; 0.0000
128; 273.20; 0.0020328319; 0.0000000000; 0.0000
129; 273.20; 0.0020298781; 0.0000000000; 0.0000
130; 273.20; 0.0020269242; 0.0000000000; 0.0000
131; 273.20; 0.0020239704; 0.0000000000; 0.0000
132; 273.20; 0.0020210165; 0.0000000000; 0.0000
133; 273.20; 0.0020180627; 0.0000000000; 0.0000
134; 273.20; 0.0020151088; 0.0000000000; 0.0000
135; 273.20; 0.0020121550; 0.0000000000; 0.0000
136; 273.20; 0.0020092011; 0.0000000000; 0.0000
137; 273.20; 0.0020062473; 0.0000000000; 0.0000
138; 273.20; 0.0020032934; 0.0000000000; 0.0000
139; 273.20; 0.0020003396; 0.0000000000; 0.0000
140; 273.20; 0.0019973857; 0.0000000000; 0.0000
141; 273.20; 0.0019944319; 0.0000000000; 0.0000
142; 273.20; 0.0019914780; 0.0000000000; 0.0000
143; 273.20; 0.0019885242; 0.0000000000; 0.0000
144; 273.20; 0.0019855703; 0.0000000000; 0.0000
145; 273.20; 0.0019826165; 0.0000000000; 0.0000
146; 273.20; 0.0019796626; 0.0000000000; 0.0000
147; 273.20; 0.0019767088; 0.0000000000; 0.0000
148; 273.20; 0.0019737549; 0.0000000000; 0.0000
149; 273.20; 0.0019708011; 0.0000000000; 0.0000
150; 273.20; 0.0019678472; 0.0000000000; 0.0000
151; 273.20; 0.0019648934; 0.0000000000; 0.0000
152; 273.20; 0.0019619395; 0.0000000000; 0.0000
153; 273.20; 0.0019589857; 0.0000000000; 0.0000
154; 273.20; 0.0019560318; 0.0000000000; 0.0000
155; 273.20; 0.0019530780; 0.0000000000; 0.0000
156; 273.20; 0.0019501241; 0.0000000000; 0.0000
157; 273.20; 0.0019471703; 0.0000000000; 0.0000
158; 273.20; 0.0019442164; 0.0000000000; 0.0000
159; 273.20; 0.0019412626; 0.0000000000; 0.0000
160; 273.20; 0.0019383087; 0.0000000000; 0.0000
161; 273.20; 0.0019353549; 0.0000000000; 0.0000
162; 273.20; 0.0019324010; 0.0000000000; 0.0000
163; 273.20; 0.0019294472; 0.0000000000; 0.0000
164; 273.20; 0.0019264933; 0.0000000000; 0.0000
165; 273.20; 0.0019235395; 0.0000000000; 0.0000
166; 273.20; 0.0019205856; 0.0000000000; 0.0000
167; 273.20; 0.0019176318; 0.0000000000; 0.0000
168; 273.20; 0.0019146779; 0.0000000000; 0.0000
169; 273.20; 0.0019117241; 0.0000000000; 0.0000
170; 273.20; 0.0019087702; 0.0000000000; 0.0000
171; 273.20; 0.0019058164; 0.0000000000; 0.0000
172; 273.20; 0.0019028625; 0.0000000000; 0.0000
173; 273.20; 0.0018999087; 0.0000000000; 0.0000
174; 273.20; 0.0018969548; 0.0000000000; 0.0000
175; 273.20; 0.0018940010; 0.0000000000; 0.0000
176; 273.20; 0.0018910471; 0.0000000000; 0.0000
177; 273.20; 0.0018880933; 0.0000000000; 0.0000
178; 273.20; 0.0018851394; 0.0000000000; 0.0000
179; 273.20; 0.0018821856; 0.0000000000; 0.0000
180; 273.20; 0.0018792317; 0.0000000000; 0.0000
181; 273.20; 0.0018762779; 0.0000000000; 0.0000
182; 273.20; 0.0018733240; 0.0000000000; 0.0000
183; 273.20; 0.0018703702; 0.0000000000; 0.0000
184; 273.20; 0.0018674163; 0.0000000000; 0.0000
185; 273.20; 0.0018644625; 0.0000000000; 0.0000
186; 273.20; 0.0018615086; 0.0000000000; 0.0000
187; 273.20; 0.0018585548; 0.0000000000; 0.0000
188; 273.20; 0.0018556009; 0.0000000000; 0.0000
189; 273.20; 0.0018526471; 0.0000000000; 0.0000
190; 273.20; 0.0018496932; 0.0000000000; 0.0000
191; 273.20; 0.0018467394; 0.0000000000; 0.0000
192; 273.20; 0.0018437855; 0.0000000000; 0.0000
193; 273.20; 0.0018408317; 0.0000000000; 0.0000
194; 273.20; 0.0018378778; 0.0000000000; 0.0000
195; 273.20; 0.0018349240; 0.0000000000; 0.0000
196; 273.20; 0.0018319701; 0.0000000000; 0.0000
197; 273.20; 0.0018290163; 0.0000000000; 0.0000
198; 273.20; 0.0018260624; 0.0000000000; 0.0000
199; 273.20; 0.0018231086; 0.0000000000; 0.0000
200; 273.20; 0.0018201547; 0.0000000000; 0.0000
201; 273.20; 0.0018172009; 0.0000000000; 0.0000
202; 273.20; 0.0018142470; 0.0000000000; 0.0000
203; 273.20; 0.0018112932; 0.0000000000; 0.0000
204; 273.20; 0.0018083393; 0.0000000000; 0.0000
