Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-707092.6149255642, B=3780.0, C=-0.7, u0=821.5723191985746, ε0=0.78, τa=1.0, dPhi=0.0 Φs=-1.187956209280602e-05 Φa=-5.490972035131795e-06 Φw=-5.490972035131795e-06 Φwcalib=-5.490972035131795e-06 τw=1.0)
0; 273.20; 0.0014896179; -0.0000033506; -0.2249
1; 273.20; 0.0014878048; -0.0000033506; -0.2252
2; 273.20; 0.0014859917; -0.0000033506; -0.2255
3; 273.20; 0.0014841785; -0.0000033506; -0.2258
4; 273.20; 0.0014823654; -0.0000033506; -0.2260
5; 273.20; 0.0014805523; -0.0000033506; -0.2263
6; 273.20; 0.0014787392; -0.0000033506; -0.2266
7; 273.20; 0.0014769260; -0.0000033506; -0.2269
8; 273.20; 0.0014751129; -0.0000033506; -0.2271
9; 273.20; 0.0014732998; -0.0000033506; -0.2274
10; 273.20; 0.0014714866; -0.0000033506; -0.2277
11; 273.20; 0.0014696735; -0.0000033506; -0.2280
12; 273.20; 0.0014678604; -0.0000033506; -0.2283
13; 273.20; 0.0014660472; -0.0000033506; -0.2285
14; 273.20; 0.0014642341; -0.0000033506; -0.2288
15; 273.20; 0.0014624210; -0.0000033506; -0.2291
16; 273.20; 0.0014606079; -0.0000033506; -0.2294
17; 273.20; 0.0014587947; -0.0000033506; -0.2297
18; 273.20; 0.0014569816; -0.0000033506; -0.2300
19; 273.20; 0.0014551685; -0.0000033506; -0.2303
20; 273.20; 0.0014533553; -0.0000033506; -0.2305
21; 273.20; 0.0014515422; -0.0000033506; -0.2308
22; 273.20; 0.0014497291; -0.0000033506; -0.2311
23; 273.20; 0.0014479159; -0.0000033506; -0.2314
24; 273.20; 0.0014461028; -0.0000033506; -0.2317
25; 273.20; 0.0014442897; -0.0000033506; -0.2320
26; 273.20; 0.0014424765; -0.0000033506; -0.2323
27; 273.20; 0.0014406634; -0.0000033506; -0.2326
28; 273.20; 0.0014388503; -0.0000033506; -0.2329
29; 273.20; 0.0014370372; -0.0000033506; -0.2332
30; 273.20; 0.0014352240; -0.0000033506; -0.2335
31; 273.20; 0.0014334109; -0.0000033506; -0.2338
32; 273.20; 0.0014315978; -0.0000033506; -0.2340
33; 273.20; 0.0014297846; -0.0000033506; -0.2343
34; 273.20; 0.0014279715; -0.0000033506; -0.2346
35; 273.20; 0.0014261584; -0.0000033506; -0.2349
36; 273.20; 0.0014243452; -0.0000033506; -0.2352
37; 273.20; 0.0014225321; -0.0000033506; -0.2355
38; 273.20; 0.0014207190; -0.0000033506; -0.2358
39; 273.20; 0.0014189058; -0.0000033506; -0.2361
40; 273.20; 0.0014170927; -0.0000033506; -0.2364
41; 273.20; 0.0014152796; -0.0000033506; -0.2367
42; 273.20; 0.0014134665; -0.0000033506; -0.2371
43; 273.20; 0.0014116533; -0.0000033506; -0.2374
44; 273.20; 0.0014098402; -0.0000033506; -0.2377
45; 273.20; 0.0014080271; -0.0000033506; -0.2380
46; 273.20; 0.0014062139; -0.0000033506; -0.2383
47; 273.20; 0.0014044008; -0.0000033506; -0.2386
48; 273.20; 0.0014025877; -0.0000033506; -0.2389
49; 273.20; 0.0014007745; -0.0000033506; -0.2392
50; 273.20; 0.0013989614; -0.0000033506; -0.2395
51; 273.20; 0.0013971483; -0.0000033506; -0.2398
52; 273.20; 0.0013953351; -0.0000033506; -0.2401
53; 273.20; 0.0013935220; -0.0000033506; -0.2404
54; 273.20; 0.0013917089; -0.0000033506; -0.2408
55; 273.20; 0.0013898958; -0.0000033506; -0.2411
56; 273.20; 0.0013880826; -0.0000033506; -0.2414
57; 273.20; 0.0013862695; -0.0000033506; -0.2417
58; 273.20; 0.0013844564; -0.0000033506; -0.2420
59; 273.20; 0.0013826432; -0.0000033506; -0.2423
60; 273.20; 0.0013808301; -0.0000033506; -0.2427
61; 273.20; 0.0013790170; -0.0000033506; -0.2430
62; 273.20; 0.0013772038; -0.0000033506; -0.2433
63; 273.20; 0.0013753907; -0.0000033506; -0.2436
64; 273.20; 0.0013735776; -0.0000033506; -0.2439
65; 273.20; 0.0013717644; -0.0000033506; -0.2443
66; 273.20; 0.0013699513; -0.0000033506; -0.2446
67; 273.20; 0.0013681382; -0.0000033506; -0.2449
68; 273.20; 0.0013663251; -0.0000033506; -0.2452
69; 273.20; 0.0013645119; -0.0000033506; -0.2456
70; 273.20; 0.0013626988; -0.0000033506; -0.2459
71; 273.20; 0.0013608857; -0.0000033506; -0.2462
72; 273.20; 0.0013590725; -0.0000033506; -0.2465
73; 273.20; 0.0013572594; -0.0000033506; -0.2469
74; 273.20; 0.0013554463; -0.0000033506; -0.2472
75; 273.20; 0.0013536331; -0.0000033506; -0.2475
76; 273.20; 0.0013518200; -0.0000033506; -0.2479
77; 273.20; 0.0013500069; -0.0000033506; -0.2482
78; 273.20; 0.0013481938; -0.0000033506; -0.2485
79; 273.20; 0.0013463806; -0.0000033506; -0.2489
80; 273.20; 0.0013445675; -0.0000033506; -0.2492
81; 273.20; 0.0013427544; -0.0000033506; -0.2495
82; 273.20; 0.0013409412; -0.0000033506; -0.2499
83; 273.20; 0.0013391281; -0.0000033506; -0.2502
84; 273.20; 0.0013373150; -0.0000033506; -0.2506
85; 273.20; 0.0013355018; -0.0000033506; -0.2509
86; 273.20; 0.0013336887; -0.0000033506; -0.2512
87; 273.20; 0.0013318756; -0.0000033506; -0.2516
88; 273.20; 0.0013300624; -0.0000033506; -0.2519
89; 273.20; 0.0013282493; -0.0000033506; -0.2523
90; 273.20; 0.0013264362; -0.0000033506; -0.2526
91; 273.20; 0.0013246231; -0.0000033506; -0.2530
92; 273.20; 0.0013228099; -0.0000033506; -0.2533
93; 273.20; 0.0013209968; -0.0000033506; -0.2536
94; 273.20; 0.0013191837; -0.0000033506; -0.2540
95; 273.20; 0.0013173705; -0.0000033506; -0.2543
96; 273.20; 0.0013155574; -0.0000033506; -0.2547
97; 273.20; 0.0013137443; -0.0000033506; -0.2550
98; 273.20; 0.0013119311; -0.0000033506; -0.2554
99; 273.20; 0.0013101180; -0.0000033506; -0.2558
100; 273.20; 0.0013083049; -0.0000033506; -0.2561
101; 273.20; 0.0013064917; -0.0000033506; -0.2565
102; 273.20; 0.0013046786; -0.0000033506; -0.2568
103; 273.20; 0.0013028655; -0.0000033506; -0.2572
104; 273.20; 0.0013010524; -0.0000033506; -0.2575
105; 273.20; 0.0012992392; -0.0000033506; -0.2579
106; 273.20; 0.0012974261; -0.0000033506; -0.2583
107; 273.20; 0.0012956130; -0.0000033506; -0.2586
108; 273.20; 0.0012937998; -0.0000033506; -0.2590
109; 273.20; 0.0012919867; -0.0000033506; -0.2593
110; 273.20; 0.0012901736; -0.0000033506; -0.2597
111; 273.20; 0.0012883604; -0.0000033506; -0.2601
112; 273.20; 0.0012865473; -0.0000033506; -0.2604
113; 273.20; 0.0012847342; -0.0000033506; -0.2608
114; 273.20; 0.0012829210; -0.0000033506; -0.2612
115; 273.20; 0.0012811079; -0.0000033506; -0.2615
116; 273.20; 0.0012792948; -0.0000033506; -0.2619
117; 273.20; 0.0012774817; -0.0000033506; -0.2623
118; 273.20; 0.0012756685; -0.0000033506; -0.2627
119; 273.20; 0.0012738554; -0.0000033506; -0.2630
120; 273.20; 0.0012720423; -0.0000033506; -0.2634
121; 273.20; 0.0012702291; -0.0000033506; -0.2638
